Timestamp,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20
2026-02-03T23:15:00.614,Symbol Sort table by Symbol in ascending order,Cmp Sort table by Cmp in ascending order,%ch Sort table by %ch in ascending order,Low Sort table by Low in ascending order,Sl Sort table by Sl in ascending order,Target Sort table by Target in ascending order,R_vol Sort table by R_vol in ascending order,Forward pe Sort table by Forward pe in ascending order,Pe Sort table by Pe in ascending order,Rsi Sort table by Rsi in ascending order,W rsi Sort table by W rsi in ascending order,Sector Sort table by Sector in ascending order,Industry Sort table by Industry in ascending order,Adx Sort table by Adx in ascending order,%ch y_low Sort table by %ch y_low in ascending order,Srs Sort table by Srs in ascending order,Ars Sort table by Ars in ascending order,Srs y Sort table by Srs y in ascending order,Ars y Sort table by Ars y in ascending order,Lc Sort table by Lc in ascending order
2026-02-03T23:15:00.614,BLISSGVS,180.52,4.49,175,161.19,190.14,0.340,17.49,16.61,58.21,57.62,healthcare,pharmaceuticals - indian - formulations,22.77,3.61,-0.072,0.380,-0.121,0.323,3.15
2026-02-03T23:15:00.614,MIRCELECTR,32.88,4.98,32.11,30.60,32.39,0.579,-137,-40.15,59.99,63.39,consumer discretionary,electronics - consumer,22.23,-3.32,0.763,1.15,0.834,1.05,2.40
2026-02-03T23:15:00.614,JAMNAAUTO,126.46,3.66,123.12,115.21,132.18,0.613,31.61,26.99,54.10,62.50,auto,auto ancillaries,21.38,3.37,0.290,0.350,0.229,0.304,2.71
2026-02-03T23:15:00.614,FORCEMOT,20008,4.18,19551,18932.30,19616.55,0.654,18.79,23.50,54.14,58.74,auto,automobiles - lcvs / hcvs,20.57,-3.84,0.034,0.889,0.032,0.816,2.34
2026-02-03T23:15:00.614,CRAFTSMAN,7712.50,2.95,7526,7311.20,7761.96,0.786,41.63,48.39,55.29,62.82,auto,auto ancillaries,17.87,-3.69,0.100,0.356,0.034,0.319,2.48
2026-02-03T23:15:00.614,SENORES,817.65,4.75,805.05,769.65,796.90,0.828,28.04,35.10,53.46,58.56,healthcare,pharmaceuticals - indian - formulations,15.22,-0.681,0.114,0.557,0.025,0.489,1.57
2026-02-03T23:15:00.614,JBCHEPHARM,1895.70,1.67,1880,1860.43,1870.85,1.06,37.52,38.63,56.56,61.92,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.34,-1.88,0.031,0.076,-0.004,0.060,0.835
2026-02-03T23:15:00.614,MMFL,440.85,9.22,415.10,399.80,409.43,1.14,32.13,20.39,61.85,66.51,industrials,castings & forgings,31.96,-4.43,0.195,0.140,0.071,0.046,6.20
2026-02-03T23:15:00.614,INDSWFTLAB,113.37,4.34,108,108.99,108.14,1.16,24.22,2.98,63.73,62.00,healthcare,pharmaceuticals - indian - bulk drugs & formln,37.88,-1.58,0.023,0.518,-0.041,0.457,4.97
2026-02-03T23:15:00.614,SBC,28.91,1.51,28.65,28.42,28.57,1.22,30.11,56.96,54.77,80.38,textiles,textiles - products,39.04,-14.71,0.485,0.880,0.461,0.855,0.907
2026-02-03T23:15:00.614,CANTABIL,301.55,3.61,293.55,281.11,305.96,1.58,93.07,31.10,62.28,64.19,textiles,textiles - products,32.16,0.444,0.044,0.243,0.018,0.202,2.73
2026-02-03T23:15:00.614,MBAPL,424.45,2.09,415.10,392.80,450.18,2.10,29.31,34.79,58.88,56.98,chemicals,fertilizers,14.04,3.73,-0.119,0.296,-0.139,0.272,2.25
2026-02-03T23:15:00.614,ASIANTILES,73.39,6.97,69.73,68.24,69.16,2.26,26.21,49.72,55.02,59.34,building materials,ceramics - tiles / sanitaryware,15.54,-2.37,0.165,0.435,0.090,0.343,5.25
2026-02-03T23:15:00.614,SHARDACROP,1113.70,-1.17,1090,858.54,1529.44,2.50,17.30,17.96,73.05,68.00,chemicals,pesticides / agrochemicals - indian,28.44,18.82,-0.092,0.662,-0.063,0.685,2.17
2026-02-03T23:15:00.614,NAVINFLUOR,6280.50,6.43,6192,5858.66,5964.52,2.81,54.03,66.53,61.19,64.94,chemicals,chemicals,13.55,-0.803,0.118,0.416,0.058,0.332,1.43
2026-02-03T23:15:00.614,APEX,352.30,19.99,328.05,274.18,322.73,4.30,23.18,40.39,70.29,64.88,fmcg,aquaculture,20.41,3.99,0.426,0.540,0.170,0.286,7.39
2026-02-03T23:15:00.614,HAPPYFORGE,1138,7.66,1080.10,1003.78,1136.83,4.62,36.52,36.71,60.67,61.71,industrials,castings & forgings,29.63,1.14,0.077,0.297,0.017,0.206,5.36
2026-02-03T23:15:00.614,MAYURUNIQ,578.45,7.93,553.10,495.35,596.85,8.91,12.38,13.40,76.83,62.04,consumer discretionary,leather / leather products,21.83,6.37,0.024,-0.032,-0.065,-0.101,4.58
2026-02-03T23:15:00.614,SANGAMIND,486.35,8.86,465,424.96,479.43,10.53,24.97,37.92,64.11,58.90,textiles,textiles - spinning - synthetic / blended,18.70,3.48,0.242,0.111,0.048,0.022,4.59
